time,sfe,ssip,rfip,type
"11/13/2021, 22:08:20",1,0,1.0,0
"11/13/2021, 22:08:22",0,0,1.0,0
"11/13/2021, 22:08:24",0,0,1.0,0
"11/13/2021, 22:08:26",4,3,1.0,0
"11/13/2021, 22:08:28",6,2,1.0,0
"11/13/2021, 22:08:30",0,0,1.0,0
"11/13/2021, 22:08:32",2,1,1.0,0
"11/13/2021, 22:08:34",2,0,1.0,0
"11/13/2021, 22:08:36",4,2,1.0,0
"11/13/2021, 22:08:38",4,2,1.0,0
"11/13/2021, 22:08:40",0,0,1.0,0
"11/13/2021, 22:08:42",4,0,1.0,0
"11/13/2021, 22:08:44",4,0,1.0,0
"11/13/2021, 22:08:46",0,0,1.0,0
"11/13/2021, 22:08:48",0,0,1.0,0
"11/13/2021, 22:08:50",0,0,1.0,0
"11/13/2021, 22:08:52",6,0,1.0,0
"11/13/2021, 22:08:54",6,0,1.0,0
"11/13/2021, 22:08:56",4,0,1.0,0
"11/13/2021, 22:08:58",0,0,1.0,0
"11/13/2021, 22:09:00",2,0,1.0,0
"11/13/2021, 22:09:02",2,0,1.0,0
"11/13/2021, 22:09:04",2,0,1.0,0
"11/13/2021, 22:09:06",0,0,1.0,0
"11/13/2021, 22:09:08",2,0,1.0,0
"11/13/2021, 22:09:10",6,0,1.0,0
"11/13/2021, 22:09:12",2,0,1.0,0
"11/13/2021, 22:09:14",4,0,1.0,0
"11/13/2021, 22:09:16",2,0,1.0,0
"11/13/2021, 22:09:18",0,0,1.0,0
"11/13/2021, 22:09:20",2,0,1.0,0
"11/13/2021, 22:09:22",2,0,1.0,0
"11/13/2021, 22:09:24",0,0,1.0,0
"11/13/2021, 22:09:26",4,0,1.0,0
"11/13/2021, 22:09:28",2,0,1.0,0
"11/13/2021, 22:09:30",0,0,1.0,0
"11/13/2021, 22:09:32",2,0,1.0,0
"11/13/2021, 22:09:34",2,0,1.0,0
"11/13/2021, 22:09:36",0,0,1.0,0
"11/13/2021, 22:09:38",0,0,1.0,0
"11/13/2021, 22:09:40",2,0,1.0,0
"11/13/2021, 22:09:42",4,0,1.0,0
"11/13/2021, 22:09:44",0,0,1.0,0
"11/13/2021, 22:09:46",0,0,1.0,0
"11/13/2021, 22:09:48",2,0,1.0,0
"11/13/2021, 22:09:50",0,0,1.0,0
"11/13/2021, 22:09:52",0,0,1.0,0
"11/13/2021, 22:09:54",0,0,1.0,0
"11/13/2021, 22:09:56",0,0,1.0,0
"11/13/2021, 22:09:58",0,0,1.0,0
"11/13/2021, 22:10:00",0,0,1.0,0
"11/13/2021, 22:10:02",0,0,1.0,0
"11/13/2021, 22:10:04",0,0,1.0,0
"11/13/2021, 22:10:06",0,0,1.0,0
"11/13/2021, 22:10:08",0,0,1.0,0
"11/13/2021, 22:10:10",0,0,1.0,0
"11/13/2021, 22:10:12",0,0,1.0,0
"11/13/2021, 22:10:14",0,0,1.0,0
"11/13/2021, 22:10:16",0,0,1.0,0
"11/13/2021, 22:10:18",0,0,1.0,0
"11/13/2021, 22:10:20",0,0,1.0,0
"11/13/2021, 22:10:22",0,0,1.0,0
"11/13/2021, 22:10:24",0,0,1.0,0
"11/13/2021, 22:10:26",0,0,1.0,0
"11/13/2021, 22:10:28",0,0,1.0,0
"11/13/2021, 22:10:30",0,0,1.0,0
"11/13/2021, 22:10:32",0,0,1.0,0
"11/13/2021, 22:10:34",0,0,1.0,0
"11/13/2021, 22:10:36",0,0,1.0,0
"11/13/2021, 22:10:38",0,0,1.0,0
"11/13/2021, 22:10:40",0,0,1.0,0
"11/13/2021, 22:10:42",0,0,1.0,0
"11/13/2021, 22:10:44",0,0,1.0,0
"11/13/2021, 22:10:46",0,0,1.0,0
"11/13/2021, 22:10:48",0,0,1.0,0
"11/13/2021, 22:10:50",0,0,1.0,0
"11/13/2021, 22:10:52",0,0,1.0,0
"11/13/2021, 22:10:54",0,0,1.0,0
"11/13/2021, 22:10:56",0,0,1.0,0
"11/13/2021, 22:10:58",0,0,1.0,0
time,sfe,ssip,rfip,type
"11/13/2021, 22:11:42",6,5,0.4,0
"11/13/2021, 22:11:44",175,175,0.011111111111111112,0
"11/13/2021, 22:11:46",175,175,0.005633802816901409,0
"11/13/2021, 22:11:48",176,176,0.003766478342749529,0
"11/13/2021, 22:11:50",179,179,0.0028169014084507044,0
