time,flowcount
"11/13/2021, 22:08:20",1
"11/13/2021, 22:08:22",1
"11/13/2021, 22:08:24",1
"11/13/2021, 22:08:26",5
"11/13/2021, 22:08:28",11
"11/13/2021, 22:08:30",11
"11/13/2021, 22:08:32",13
"11/13/2021, 22:08:34",15
"11/13/2021, 22:08:36",19
"11/13/2021, 22:08:38",23
"11/13/2021, 22:08:40",23
"11/13/2021, 22:08:42",27
"11/13/2021, 22:08:44",31
"11/13/2021, 22:08:46",31
"11/13/2021, 22:08:48",31
"11/13/2021, 22:08:50",31
"11/13/2021, 22:08:52",37
"11/13/2021, 22:08:54",43
"11/13/2021, 22:08:56",47
"11/13/2021, 22:08:58",47
"11/13/2021, 22:09:00",49
"11/13/2021, 22:09:02",51
"11/13/2021, 22:09:04",53
"11/13/2021, 22:09:06",53
"11/13/2021, 22:09:08",55
"11/13/2021, 22:09:10",61
"11/13/2021, 22:09:12",63
"11/13/2021, 22:09:14",67
"11/13/2021, 22:09:16",69
"11/13/2021, 22:09:18",69
"11/13/2021, 22:09:20",71
"11/13/2021, 22:09:22",73
"11/13/2021, 22:09:24",73
"11/13/2021, 22:09:26",77
"11/13/2021, 22:09:28",79
"11/13/2021, 22:09:30",79
"11/13/2021, 22:09:32",81
"11/13/2021, 22:09:34",83
"11/13/2021, 22:09:36",83
"11/13/2021, 22:09:38",83
"11/13/2021, 22:09:40",85
"11/13/2021, 22:09:42",89
"11/13/2021, 22:09:44",89
"11/13/2021, 22:09:46",89
"11/13/2021, 22:09:48",91
"11/13/2021, 22:09:50",91
"11/13/2021, 22:09:52",91
"11/13/2021, 22:09:54",91
"11/13/2021, 22:09:56",91
"11/13/2021, 22:09:58",91
"11/13/2021, 22:10:00",91
"11/13/2021, 22:10:02",91
"11/13/2021, 22:10:04",91
"11/13/2021, 22:10:06",91
"11/13/2021, 22:10:08",91
"11/13/2021, 22:10:10",91
"11/13/2021, 22:10:12",91
"11/13/2021, 22:10:14",91
"11/13/2021, 22:10:16",91
"11/13/2021, 22:10:18",91
"11/13/2021, 22:10:20",91
"11/13/2021, 22:10:22",91
"11/13/2021, 22:10:24",91
"11/13/2021, 22:10:26",91
"11/13/2021, 22:10:28",91
"11/13/2021, 22:10:30",91
"11/13/2021, 22:10:32",91
"11/13/2021, 22:10:34",91
"11/13/2021, 22:10:36",91
"11/13/2021, 22:10:38",91
"11/13/2021, 22:10:40",91
"11/13/2021, 22:10:42",91
"11/13/2021, 22:10:44",91
"11/13/2021, 22:10:46",91
"11/13/2021, 22:10:48",91
"11/13/2021, 22:10:50",91
"11/13/2021, 22:10:52",91
"11/13/2021, 22:10:54",91
"11/13/2021, 22:10:56",91
"11/13/2021, 22:10:58",91
time,flowcount
"11/13/2021, 22:11:42",6
"11/13/2021, 22:11:44",181
"11/13/2021, 22:11:46",356
"11/13/2021, 22:11:48",532
"11/13/2021, 22:11:50",711
"11/13/2021, 22:11:52",887
"11/13/2021, 22:11:54",1003
"11/13/2021, 22:11:56",1102
"11/13/2021, 22:11:58",1224
"11/13/2021, 22:12:00",1347
"11/13/2021, 22:12:02",1470
"11/13/2021, 22:12:04",1593
"11/13/2021, 22:12:06",1717
"11/13/2021, 22:12:08",1840
"11/13/2021, 22:12:10",1962
"11/13/2021, 22:12:12",2015
"11/13/2021, 22:12:14",2110
"11/13/2021, 22:12:16",2203
"11/13/2021, 22:12:18",2297
"11/13/2021, 22:12:20",2392
"11/13/2021, 22:12:22",2487
"11/13/2021, 22:12:24",2581
"11/13/2021, 22:12:26",2675
"11/13/2021, 22:12:28",2770
"11/13/2021, 22:12:30",2864
"11/13/2021, 22:12:32",2958
"11/13/2021, 22:12:34",3003
"11/13/2021, 22:12:36",3078
"11/13/2021, 22:12:39",3155
"11/13/2021, 22:12:40",3231
"11/13/2021, 22:12:43",3306
"11/13/2021, 22:12:45",3382
"11/13/2021, 22:12:47",3458
"11/13/2021, 22:12:49",3534
"11/13/2021, 22:12:51",3610
"11/13/2021, 22:12:53",3686
"11/13/2021, 22:12:55",3762
"11/13/2021, 22:12:57",3838
"11/13/2021, 22:12:59",3915
"11/13/2021, 22:13:01",3991
"11/13/2021, 22:13:03",4023
"11/13/2021, 22:13:05",4087
"11/13/2021, 22:13:07",4150
"11/13/2021, 22:13:09",4214
"11/13/2021, 22:13:11",4277
"11/13/2021, 22:13:13",4341
"11/13/2021, 22:13:15",4405
"11/13/2021, 22:13:17",4469
"11/13/2021, 22:13:19",4533
"11/13/2021, 22:13:21",4597
"11/13/2021, 22:13:23",4661
"11/13/2021, 22:13:25",4724
"11/13/2021, 22:13:27",4788
"11/13/2021, 22:13:29",4852
"11/13/2021, 22:13:31",4915
"11/13/2021, 22:13:33",4979
"11/13/2021, 22:13:35",5008
"11/13/2021, 22:13:37",5063
"11/13/2021, 22:13:39",5118
"11/13/2021, 22:13:41",5174
"11/13/2021, 22:13:43",5229
"11/13/2021, 22:13:45",5284
"11/13/2021, 22:13:47",5339
"11/13/2021, 22:13:49",5394
"11/13/2021, 22:13:51",5449
"11/13/2021, 22:13:54",5504
"11/13/2021, 22:13:56",5560
"11/13/2021, 22:13:57",5615
"11/13/2021, 22:14:00",5670
"11/13/2021, 22:14:02",5724
"11/13/2021, 22:14:04",5777
"11/13/2021, 22:14:06",5833
"11/13/2021, 22:14:08",5890
"11/13/2021, 22:14:10",5920
"11/13/2021, 22:14:12",5965
"11/13/2021, 22:14:14",6003
"11/13/2021, 22:14:16",6028
"11/13/2021, 22:14:18",6077
"11/13/2021, 22:14:20",6127
"11/13/2021, 22:14:22",6177
"11/13/2021, 22:14:25",6227
"11/13/2021, 22:14:27",6279
"11/13/2021, 22:14:30",6341
"11/13/2021, 22:14:33",6398
"11/13/2021, 22:14:35",6464
"11/13/2021, 22:14:38",6530
"11/13/2021, 22:14:40",6594
"11/13/2021, 22:14:42",6649
"11/13/2021, 22:14:45",6712
"11/13/2021, 22:14:48",6769
"11/13/2021, 22:14:50",6828
"11/13/2021, 22:14:53",6891
"11/13/2021, 22:14:55",6952
"11/13/2021, 22:14:58",7003
"11/13/2021, 22:15:01",7050
"11/13/2021, 22:15:03",7082
"11/13/2021, 22:15:06",7163
"11/13/2021, 22:15:09",7222
"11/13/2021, 22:15:12",7282
"11/13/2021, 22:15:14",7340
"11/13/2021, 22:15:17",7401
"11/13/2021, 22:15:20",7461
"11/13/2021, 22:15:23",7502
"11/13/2021, 22:15:26",7556
"11/13/2021, 22:15:29",7614
"11/13/2021, 22:15:32",7670
"11/13/2021, 22:15:35",7728
"11/13/2021, 22:15:38",7786
"11/13/2021, 22:15:41",7847
"11/13/2021, 22:15:44",7909
"11/13/2021, 22:15:48",7969
"11/13/2021, 22:15:51",8012
"11/13/2021, 22:15:54",8074
"11/13/2021, 22:15:57",8137
"11/13/2021, 22:16:01",8203
"11/13/2021, 22:16:04",8268
"11/13/2021, 22:16:08",8294
"11/13/2021, 22:16:11",8400
"11/13/2021, 22:16:15",8465
"11/13/2021, 22:16:19",8548
"11/13/2021, 22:16:24",8806
"11/13/2021, 22:16:29",8890
"11/13/2021, 22:16:33",9012
"11/13/2021, 22:16:37",9066
