time,sfe,ssip,rfip,type
"11/17/2021, 04:04:55",3,2,1.0,0
"11/17/2021, 04:04:57",2,1,1.0,0
"11/17/2021, 04:04:59",2,1,1.0,0
"11/17/2021, 04:05:01",4,2,1.0,0
"11/17/2021, 04:05:03",2,1,1.0,0
"11/17/2021, 04:05:05",4,0,1.0,0
"11/17/2021, 04:05:07",4,2,1.0,0
"11/17/2021, 04:05:09",4,0,1.0,0
"11/17/2021, 04:05:11",2,0,1.0,0
"11/17/2021, 04:05:13",6,1,1.0,0
"11/17/2021, 04:05:15",2,0,1.0,0
"11/17/2021, 04:05:17",4,0,1.0,0
"11/17/2021, 04:05:19",4,0,1.0,0
"11/17/2021, 04:05:21",2,0,1.0,0
"11/17/2021, 04:05:23",2,0,1.0,0
"11/17/2021, 04:05:25",2,0,1.0,0
"11/17/2021, 04:05:27",2,0,1.0,0
"11/17/2021, 04:05:29",6,0,1.0,0
"11/17/2021, 04:05:31",0,0,1.0,0
"11/17/2021, 04:05:33",2,0,1.0,0
"11/17/2021, 04:05:35",4,0,1.0,0
"11/17/2021, 04:05:37",4,0,1.0,0
"11/17/2021, 04:05:39",0,0,1.0,0
"11/17/2021, 04:05:41",2,0,1.0,0
"11/17/2021, 04:05:43",2,0,1.0,0
"11/17/2021, 04:05:45",2,0,1.0,0
"11/17/2021, 04:05:47",2,0,1.0,0
"11/17/2021, 04:05:49",2,0,1.0,0
"11/17/2021, 04:05:51",2,0,1.0,0
"11/17/2021, 04:05:53",0,0,1.0,0
"11/17/2021, 04:05:55",2,0,1.0,0
"11/17/2021, 04:05:57",0,0,1.0,0
"11/17/2021, 04:05:59",0,0,1.0,0
"11/17/2021, 04:06:01",0,0,1.0,0
"11/17/2021, 04:06:03",0,0,1.0,0
"11/17/2021, 04:06:05",0,0,1.0,0
"11/17/2021, 04:06:07",4,0,1.0,0
"11/17/2021, 04:06:09",0,0,1.0,0
"11/17/2021, 04:06:11",0,0,1.0,0
"11/17/2021, 04:06:13",2,0,1.0,0
"11/17/2021, 04:06:15",0,0,1.0,0
"11/17/2021, 04:06:17",0,0,1.0,0
"11/17/2021, 04:06:19",0,0,1.0,0
"11/17/2021, 04:06:21",0,0,1.0,0
"11/17/2021, 04:06:23",0,0,1.0,0
"11/17/2021, 04:06:25",0,0,1.0,0
"11/17/2021, 04:06:27",0,0,1.0,0
"11/17/2021, 04:06:29",2,0,1.0,0
"11/17/2021, 04:06:31",2,0,1.0,0
"11/17/2021, 04:06:33",0,0,1.0,0
"11/17/2021, 04:06:35",0,0,1.0,0
"11/17/2021, 04:06:37",0,0,1.0,0
"11/17/2021, 04:06:39",0,0,1.0,0
"11/17/2021, 04:06:41",0,0,1.0,0
"11/17/2021, 04:06:43",0,0,1.0,0
"11/17/2021, 04:06:45",0,0,1.0,0
"11/17/2021, 04:06:47",0,0,1.0,0
"11/17/2021, 04:06:49",0,0,1.0,0
"11/17/2021, 04:06:51",0,0,1.0,0
"11/17/2021, 04:06:53",0,0,1.0,0
"11/17/2021, 04:06:55",0,0,1.0,0
"11/17/2021, 04:06:57",0,0,1.0,0
"11/17/2021, 04:06:59",0,0,1.0,0
"11/17/2021, 04:07:01",0,0,1.0,0
"11/17/2021, 04:07:03",0,0,1.0,0
"11/17/2021, 04:07:05",0,0,1.0,0
"11/17/2021, 04:07:07",0,0,1.0,0
"11/17/2021, 04:07:09",0,0,1.0,0
"11/17/2021, 04:07:11",0,0,1.0,0
"11/17/2021, 04:07:13",0,0,1.0,0
"11/17/2021, 04:07:15",0,0,1.0,0
"11/17/2021, 04:07:17",0,0,1.0,0
"11/17/2021, 04:07:19",0,0,1.0,0
"11/17/2021, 04:07:21",0,0,1.0,0
"11/17/2021, 04:07:23",0,0,1.0,0
"11/17/2021, 04:07:25",0,0,1.0,0
"11/17/2021, 04:07:27",0,0,1.0,0
"11/17/2021, 04:07:29",0,0,1.0,0
"11/17/2021, 04:07:31",0,0,1.0,0
"11/17/2021, 04:07:33",0,0,1.0,0
"11/17/2021, 04:07:35",0,0,1.0,0
"11/17/2021, 04:07:37",0,0,1.0,0
"11/17/2021, 04:07:39",0,0,1.0,0
"11/17/2021, 04:07:41",0,0,1.0,0
"11/17/2021, 04:07:43",0,0,1.0,0
"11/17/2021, 04:07:45",0,0,1.0,0
"11/17/2021, 04:07:47",0,0,1.0,0
"11/17/2021, 04:07:49",0,0,1.0,0
"11/17/2021, 04:07:51",0,0,1.0,0
"11/17/2021, 04:07:53",0,0,1.0,0
"11/17/2021, 04:07:55",0,0,1.0,0
"11/17/2021, 04:07:57",0,0,1.0,0
"11/17/2021, 04:07:59",0,0,1.0,0
"11/17/2021, 04:08:01",0,0,1.0,0
"11/17/2021, 04:08:03",0,0,1.0,0
"11/17/2021, 04:08:05",0,0,1.0,0
"11/17/2021, 04:08:07",0,0,1.0,0
"11/17/2021, 04:08:09",0,0,1.0,0
"11/17/2021, 04:08:11",0,0,1.0,0
"11/17/2021, 04:08:13",0,0,1.0,0
"11/17/2021, 04:08:15",0,0,1.0,0
"11/17/2021, 04:08:17",0,0,1.0,0
"11/17/2021, 04:08:19",0,0,1.0,0
"11/17/2021, 04:08:21",0,0,1.0,0
"11/17/2021, 04:08:23",0,0,1.0,0
"11/17/2021, 04:08:25",0,0,1.0,0
"11/17/2021, 04:08:27",0,0,1.0,0
"11/17/2021, 04:08:29",0,0,1.0,0
"11/17/2021, 04:08:31",0,0,1.0,0
"11/17/2021, 04:08:33",0,0,1.0,0
"11/17/2021, 04:08:35",0,0,1.0,0
"11/17/2021, 04:08:37",0,0,1.0,0
"11/17/2021, 04:08:39",0,0,1.0,0
"11/17/2021, 04:08:41",0,0,1.0,0
"11/17/2021, 04:08:43",0,0,1.0,0
"11/17/2021, 04:08:45",0,0,1.0,0
"11/17/2021, 04:08:47",0,0,1.0,0
"11/17/2021, 04:08:49",0,0,1.0,0
"11/17/2021, 04:08:51",0,0,1.0,0
"11/17/2021, 04:08:53",0,0,1.0,0
"11/17/2021, 04:08:55",0,0,1.0,0
"11/17/2021, 04:08:57",0,0,1.0,0
"11/17/2021, 04:08:59",0,0,1.0,0
"11/17/2021, 04:09:01",0,0,1.0,0
"11/17/2021, 04:09:03",0,0,1.0,0
"11/17/2021, 04:09:05",0,0,1.0,0
"11/17/2021, 04:09:07",0,0,1.0,0
"11/17/2021, 04:09:09",0,0,1.0,0
"11/17/2021, 04:09:11",0,0,1.0,0
"11/17/2021, 04:09:13",0,0,1.0,0
"11/17/2021, 04:09:15",0,0,1.0,0
"11/17/2021, 04:09:17",0,0,1.0,0
"11/17/2021, 04:09:19",0,0,1.0,0
"11/17/2021, 04:09:21",0,0,1.0,0
"11/17/2021, 04:09:23",0,0,1.0,0
"11/17/2021, 04:09:25",0,0,1.0,0
"11/17/2021, 04:09:27",0,0,1.0,0
"11/17/2021, 04:09:29",0,0,1.0,0
"11/17/2021, 04:09:31",0,0,1.0,0
"11/17/2021, 04:09:33",0,0,1.0,0
"11/17/2021, 04:09:35",0,0,1.0,0
"11/17/2021, 04:09:37",0,0,1.0,0
"11/17/2021, 04:09:39",0,0,1.0,0
"11/17/2021, 04:09:41",0,0,1.0,0
"11/17/2021, 04:09:43",0,0,1.0,0
"11/17/2021, 04:09:45",0,0,1.0,0
"11/17/2021, 04:09:47",0,0,1.0,0
"11/17/2021, 04:09:49",0,0,1.0,0
"11/17/2021, 04:09:51",0,0,1.0,0
"11/17/2021, 04:09:53",0,0,1.0,0
"11/17/2021, 04:09:55",0,0,1.0,0
"11/17/2021, 04:09:57",0,0,1.0,0
"11/17/2021, 04:09:59",0,0,1.0,0
"11/17/2021, 04:10:01",0,0,1.0,0
"11/17/2021, 04:10:03",0,0,1.0,0
"11/17/2021, 04:10:05",0,0,1.0,0
"11/17/2021, 04:10:07",0,0,1.0,0
"11/17/2021, 04:10:09",0,0,1.0,0
"11/17/2021, 04:10:11",0,0,1.0,0
"11/17/2021, 04:10:13",0,0,1.0,0
"11/17/2021, 04:10:15",0,0,1.0,0
"11/17/2021, 04:10:17",0,0,1.0,0
"11/17/2021, 04:10:19",0,0,1.0,0
"11/17/2021, 04:10:21",0,0,1.0,0
"11/17/2021, 04:10:23",0,0,1.0,0
"11/17/2021, 04:10:25",0,0,1.0,0
"11/17/2021, 04:10:27",0,0,1.0,0
"11/17/2021, 04:10:29",0,0,1.0,0
"11/17/2021, 04:10:31",0,0,1.0,0
"11/17/2021, 04:10:33",0,0,1.0,0
"11/17/2021, 04:10:35",0,0,1.0,0
"11/17/2021, 04:10:37",0,0,1.0,0
"11/17/2021, 04:10:39",0,0,1.0,0
"11/17/2021, 04:10:41",0,0,1.0,0
"11/17/2021, 04:10:43",0,0,1.0,0
"11/17/2021, 04:10:45",0,0,1.0,0
"11/17/2021, 04:10:47",0,0,1.0,0
"11/17/2021, 04:10:49",0,0,1.0,0
"11/17/2021, 04:10:51",0,0,1.0,0
"11/17/2021, 04:10:53",0,0,1.0,0
